RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
136,9,Chuba Hubbard,CAR,RB41,RB,11,4,9,0.5,37% (6/16)
137,9,Mike Williams,NYJ,WR58,WR,12,4,10,2.1,66% (2/3)
138,9,Will Levis,TEN,QB24,QB,5,5,48,-1.6,30% (3/10)
139,9,Josh Downs,IND,WR59,WR,14,4,61,-0.2,37% (6/16)
140,9,Luke Musgrave,GB,TE16,TE,10,3,28,-0.4,40% (4/10)
141,9,Rico Dowdle,DAL,RB42,RB,7,3,7,0.1,33% (5/15)
142,9,Blake Corum,LAR,RB43,RB,6,3,-22,-,-
143,9,Antonio Gibson,NE,RB44,RB,14,2,21,0,53% (8/15)
144,9,Trey Benson,ARI,RB45,RB,11,2,-22,-,-
145,9,Jerry Jeudy,CLE,WR60,WR,10,3,-3,-2.4,26% (4/15)
146,9,Cole Kmet,CHI,TE17,TE,7,3,-12,1.1,50% (8/16)
147,9,Jaleel McLaughlin,DEN,RB46,RB,14,4,18,0.8,37% (6/16)
148,9,Ty Chandler,MIN,RB47,RB,6,3,7,0.2,31% (5/16)
149,9,Hunter Henry,NE,TE18,TE,14,3,50,0.8,42% (6/14)
150,9,Tyler Allgeier,ATL,RB48,RB,12,4,4,0.2,31% (5/16)
151,9,J.K. Dobbins,LAC,RB49,RB,5,4,-20,-1.7,0% (0/1)
152,9,Adam Thielen,CAR,WR61,WR,11,5,7,0.8,43% (7/16)
153,9,Dontayvion Wicks,GB,WR62,WR,10,4,21,1.3,71% (10/14)
154,9,Gabe Davis,JAC,WR63,WR,12,4,8,-0.1,43% (7/16)
155,9,Tyler Conklin,NYJ,TE19,TE,12,3,24,0.3,50% (8/16)
156,9,Daniel Jones,NYG,QB25,QB,11,2,104,-6.9,16% (1/6)
157,10,DeMario Douglas,NE,WR64,WR,14,3,32,0,53% (7/13)
158,10,Jahan Dotson,PHI,WR65,WR,5,2,35,-1.3,37% (6/16)
159,10,Baltimore Ravens,BAL,DST1,DST,14,2,-36,3.5,68% (11/16)
160,10,Derek Carr,NO,QB26,QB,12,4,30,-0.4,56% (9/16)
161,10,Cade Otton,TB,TE20,TE,11,3,79,0.2,50% (8/16)
162,10,Adonai Mitchell,IND,WR66,WR,14,4,7,-,-
163,10,Ja'Lynn Polk,NE,WR67,WR,14,3,20,-,-
164,10,Ray Davis,BUF,RB50,RB,12,2,51,-,-
165,10,Khalil Herbert,CHI,RB51,RB,7,2,33,0.2,27% (3/11)
166,10,MarShawn Lloyd,GB,RB52,RB,10,1,5,-,-
167,10,Bryce Young,CAR,QB27,QB,11,5,52,-2.3,20% (3/15)
168,10,Michael Wilson,ARI,WR68,WR,11,3,73,1.5,50% (6/12)
169,10,San Francisco 49ers,SF,DST2,DST,9,1,-59,1.4,50% (8/16)
170,10,New York Jets,NYJ,DST3,DST,12,1,-44,2.1,62% (10/16)
171,10,Darnell Mooney,ATL,WR69,WR,12,4,7,-1.8,33% (5/15)
172,10,Wan'Dale Robinson,NYG,WR70,WR,11,3,48,0.2,42% (6/14)
173,10,Dallas Cowboys,DAL,DST4,DST,7,4,-49,2.9,43% (7/16)
174,10,Cleveland Browns,CLE,DST5,DST,10,2,-46,2.3,68% (11/16)
175,10,Taysom Hill,NO,TE21,TE,12,4,20,1.8,53% (8/15)
176,10,Kendre Miller,NO,RB53,RB,12,5,12,-0.4,42% (3/7)
177,10,Rashod Bateman,BAL,WR71,WR,14,3,79,-1.2,33% (5/15)
178,10,Roschon Johnson,CHI,RB54,RB,7,2,43,-0.7,28% (4/14)
179,10,Jaylen Wright,MIA,RB55,RB,6,3,-16,-,-
180,10,Noah Fant,SEA,TE22,TE,10,3,51,-0.7,50% (8/16)
181,10,Xavier Legette,CAR,WR72,WR,11,5,-15,-,-
182,10,Sam Darnold,MIN,QB28,QB,6,5,46,-0.8,0% (0/3)
183,10,Pittsburgh Steelers,PIT,DST6,DST,9,4,-33,1,43% (7/16)
184,10,Kansas City Chiefs,KC,DST7,DST,6,2,-32,0.4,56% (9/16)
185,10,Chigoziem Okonkwo,TEN,TE23,TE,5,4,28,-0.7,25% (4/16)
186,10,Justin Tucker,BAL,K1,K,14,2,-83,2,56% (9/16)
187,10,Buffalo Bills,BUF,DST8,DST,12,2,-30,2.2,50% (8/16)
188,10,Marvin Mims Jr.,DEN,WR73,WR,14,2,39,-0.6,26% (4/15)
189,10,Bucky Irving,TB,RB56,RB,11,5,16,-,-
190,10,Brandon Aubrey,DAL,K2,K,7,2,-81,2.3,62% (10/16)
191,10,Juwan Johnson,NO,TE24,TE,12,4,95,0.5,38% (5/13)
192,10,Demarcus Robinson,LAR,WR74,WR,6,3,84,4.1,60% (6/10)
193,10,Harrison Butker,KC,K3,K,6,2,-79,0.6,43% (7/16)
194,10,Philadelphia Eagles,PHI,DST9,DST,5,3,-24,-1.1,37% (6/16)
195,10,Houston Texans,HOU,DST10,DST,14,2,-20,1.7,62% (10/16)
196,10,Jermaine Burton,CIN,WR75,WR,12,2,47,-,-
197,11,Braelon Allen,NYJ,RB57,RB,12,2,6,-,-
198,11,New Orleans Saints,NO,DST11,DST,12,5,-16,1.7,43% (7/16)
199,11,Jason Sanders,MIA,K4,K,6,2,-23,1.1,50% (8/16)
200,11,Bo Nix,DEN,QB29,QB,14,2,2,-,-
201,11,Isaiah Likely,BAL,TE25,TE,14,3,-24,1.1,37% (6/16)
202,11,Ricky Pearsall,SF,WR76,WR,9,2,36,-,-
203,11,Russell Wilson,PIT,QB30,QB,9,2,15,1,60% (9/15)
204,11,Quentin Johnston,LAC,WR77,WR,5,3,40,-1.5,31% (5/16)
205,11,Miami Dolphins,MIA,DST12,DST,6,2,-44,1.6,56% (9/16)
206,11,Ka'imi Fairbairn,HOU,K5,K,14,2,-63,2.5,72% (8/11)
207,11,Ben Sinnott,WAS,TE26,TE,14,2,2,-,-
208,11,Dameon Pierce,HOU,RB58,RB,14,3,34,-2.6,30% (4/13)
209,11,Elijah Mitchell,SF,RB59,RB,9,2,-12,-1.5,27% (3/11)
210,11,Jake Moody,SF,K6,K,9,1,-59,-0.2,37% (6/16)
211,11,Jake Elliott,PHI,K7,K,5,2,-72,1.3,56% (9/16)
212,11,Tyler Bass,BUF,K8,K,12,5,-39,0.1,43% (7/16)
213,11,Chicago Bears,CHI,DST13,DST,7,3,-33,1.1,50% (8/16)
214,11,Younghoe Koo,ATL,K9,K,12,0,-81,1,43% (7/16)
215,11,Tyler Boyd,TEN,WR78,WR,5,4,46,-0.4,37% (6/16)
216,11,Javon Baker,NE,WR79,WR,14,3,52,-,-
217,11,Jalin Hyatt,NYG,WR80,WR,11,3,62,-1.1,31% (5/16)
218,11,Elijah Moore,CLE,WR81,WR,10,3,123,-0.9,37% (6/16)
219,11,Darius Slayton,NYG,WR82,WR,11,3,68,1,43% (7/16)
220,11,Evan McPherson,CIN,K10,K,12,0,-74,0.7,50% (8/16)
221,11,Roman Wilson,PIT,WR83,WR,9,1,27,-,-
222,11,Alexander Mattison,LV,RB60,RB,10,3,30,-2.6,20% (3/15)
223,11,Mike Gesicki,CIN,TE27,TE,12,3,0,-0.4,43% (7/16)
